keyword,faculty,strength
dynamic analysis,engineering,22
dynamic analysis,architecture,0
dynamic analysis,design,0
immigration,engineering,3
immigration,architecture,13
immigration,design,6
data visualization,engineering,6
data visualization,architecture,0
data visualization,design,16
prediction,engineering,22
prediction,architecture,0
prediction,design,0
feasibility study,engineering,18
feasibility study,architecture,4
feasibility study,design,0
hybrid propulsion,engineering,22
hybrid propulsion,architecture,0
hybrid propulsion,design,0
coating,engineering,20
coating,architecture,0
coating,design,2
LTE,engineering,22
LTE,architecture,0
LTE,design,0
electrospinning,engineering,22
electrospinning,architecture,0
electrospinning,design,0
Sesto San Giovanni,engineering,3
Sesto San Giovanni,architecture,18
Sesto San Giovanni,design,1
industrial,engineering,4
industrial,architecture,12
industrial,design,6
factory,engineering,1
factory,architecture,13
factory,design,8
sea,engineering,1
sea,architecture,16
sea,design,5
Facebook,engineering,14
Facebook,architecture,0
Facebook,design,7
investment,engineering,17
investment,architecture,3
investment,design,1
mass customization,engineering,17
mass customization,architecture,0
mass customization,design,4
Portugal,engineering,5
Portugal,architecture,13
Portugal,design,3
mechanical properties,engineering,21
mechanical properties,architecture,0
mechanical properties,design,0
industrial archeology,engineering,2
industrial archeology,architecture,16
industrial archeology,design,3
Arduino,engineering,12
Arduino,architecture,0
Arduino,design,9
SCR,engineering,21
SCR,architecture,0
SCR,design,0
lighting,engineering,4
lighting,architecture,6
lighting,design,11
modal analysis,engineering,21
modal analysis,architecture,0
modal analysis,design,0
kinetics,engineering,21
kinetics,architecture,0
kinetics,design,0
coworking,engineering,2
coworking,architecture,15
coworking,design,4
dynamic simulation,engineering,18
dynamic simulation,architecture,3
dynamic simulation,design,0
finance,engineering,19
finance,architecture,1
finance,design,1
limit,engineering,1
limit,architecture,17
limit,design,3
landmark,engineering,1
landmark,architecture,16
landmark,design,4
SMA,engineering,21
SMA,architecture,0
SMA,design,0
ecology,engineering,0
ecology,architecture,13
ecology,design,8
pollution,engineering,14
pollution,architecture,4
pollution,design,3
bank,engineering,18
bank,architecture,2
bank,design,1
data,engineering,11
data,architecture,2
data,design,8
prison,engineering,0
prison,architecture,19
prison,design,2
stone,engineering,3
stone,architecture,12
stone,design,6
supply chain finance,engineering,21
supply chain finance,architecture,0
supply chain finance,design,0
movement,engineering,3
movement,architecture,6
movement,design,12
barriers,engineering,20
barriers,architecture,0
barriers,design,1
methane,engineering,21
methane,architecture,0
methane,design,0
navigation,engineering,15
navigation,architecture,4
navigation,design,2
Internet of things,engineering,19
Internet of things,architecture,0
Internet of things,design,1
comparison,engineering,16
comparison,architecture,3
comparison,design,1
greenhouse,engineering,5
greenhouse,architecture,11
greenhouse,design,4
virtual reality,engineering,14
virtual reality,architecture,5
virtual reality,design,1
regression rate,engineering,20
regression rate,architecture,0
regression rate,design,0
gasification,engineering,20
gasification,architecture,0
gasification,design,0
Rome,engineering,0
Rome,architecture,19
Rome,design,1
cohousing,engineering,1
cohousing,architecture,18
cohousing,design,1
hostel,engineering,4
hostel,architecture,15
hostel,design,1
vulnerability,engineering,15
vulnerability,architecture,5
vulnerability,design,0
globalization,engineering,10
globalization,architecture,7
globalization,design,3
developing countries,engineering,14
developing countries,architecture,4
developing countries,design,2
finite element,engineering,20
finite element,architecture,0
finite element,design,0
events,engineering,3
events,architecture,3
events,design,14
retrofit,engineering,10
retrofit,architecture,8
retrofit,design,2
start-up,engineering,14
start-up,architecture,4
start-up,design,2
distribution,engineering,17
distribution,architecture,0
distribution,design,3
winery,engineering,0
winery,architecture,19
winery,design,1
fluid dynamics,engineering,19
fluid dynamics,architecture,0
fluid dynamics,design,1
pattern,engineering,7
pattern,architecture,4
pattern,design,9
vibration,engineering,18
vibration,architecture,0
vibration,design,2
wireless,engineering,18
wireless,architecture,0
wireless,design,2
transportation,engineering,8
transportation,architecture,9
transportation,design,3
microstructure,engineering,20
microstructure,architecture,0
microstructure,design,0
device,engineering,13
device,architecture,1
device,design,6
structural health monitoring,engineering,20
structural health monitoring,architecture,0
structural health monitoring,design,0
privacy,engineering,13
privacy,architecture,4
privacy,design,3
biomechanics,engineering,20
biomechanics,architecture,0
biomechanics,design,0
environmental impact,engineering,18
environmental impact,architecture,1
environmental impact,design,1
UAV,engineering,20
UAV,architecture,0
UAV,design,0
interoperability,engineering,14
interoperability,architecture,6
interoperability,design,0
slum,engineering,1
slum,architecture,19
slum,design,0
